Year,Meso correction factor
01/01/1974,56
01/01/1975,59.6
01/01/1976,59.9
01/01/1977,63.3
01/01/1978,59.4
01/01/1979,59
01/01/1980,56
01/01/1981,53
01/01/1982,54
01/01/1983,60.9
01/01/1984,60.8
01/01/1985,55.2
01/01/1986,60.3
01/01/1987,57.2
01/01/1988,54.4
01/01/1989,52.7
01/01/1990,52.4
01/01/1991,52.2
01/01/1992,52.5
01/01/1993,40.8
01/01/1994,36.8
01/01/1995,35.2
01/01/1996,36.5
01/01/1997,35.8
01/01/1998,33.7
01/01/1999,34.1
01/01/2000,26.9
01/01/2001,100
01/01/2002,100
01/01/2003,100
01/01/2004,100
01/01/2005,100
01/01/2006,100
01/01/2007,100
01/01/2008,100
01/01/2009,100
01/01/2010,100
01/01/2011,100
01/01/2012,100
